SMILES,FRAGMENTS
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,327.0782:233.0363:152.0621;327.0781:77.0388:152.0624|327.0781:233.0364:153.07|233.0364:153.0699:251.0469|152.0621:95.0492:153.0699|152.0621:95.0492:77.0386|152.0621:95.0492:77.0385|152.0621:77.0386:95.0492|50.0152:51.023:152.0622|50.0152:51.023:150.0466;251.0477:153.0704:152.0625|152.0626:77.0388:168.0576|233.0373:215.0267:229.1023|215.0266:233.0371:251.0479
O=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,279.0933:219.0569:201.0463;279.0934:57.0699:71.0855|279.0934:57.0699:71.0855|57.0699:219.057:279.0934|121.0284:219.057:57.0699|121.0284:65.0386:121.0396|65.0386:121.0284:121.0396|65.0386:121.0396:121.0284|65.0386:53.0022:51.023|65.0386:53.0022:51.023
ClCCOP(=O)(OCCCl)OCCCl,62.9997:98.9842:284.9612
NC1=CC=C(O)C=C1,110.06:92.0494:65.0386
CC(=O)NC1=CC=C(Br)C=C1,93.0573:213.9861:171.9756
NC1=CC=C(Cl)C=C1,128.026:93.0572:139.0055;128.0266:93.0576:139.0063|93.0576:128.0266:139.0063|93.0575:128.0265|93.0575
CC1=CC=NC=N1,95.0603:68.0495:67.0543
NC1CCCCC1,83.0855:100.1121:55.0544
C1=CC=C2C(C=CC3=NC4=C(C=CC5=CC=CC=C45)C=C23)=C1,280.1119:279.1039:278.0958
O=C(OC1CCCCC1)C1=CC=CC=C1C(=O)OC1CCCCC1,149.0233:167.0338:249.1121
CCOC(=O)C1=CC=C(N)C=C1,138.0549:94.0651:120.0444
Oc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1,NA
O=C1c2ccccc2-c2cccc3cccc1c23,231.0805:203.0856:202.0777;203.0853:202.0775:231.0804|231.0802:203.0855:202.0777
c1cnc2c(c1)cc1ccc3cccc4ccc2c1c34,254.0964:253.0886:226.0768
Oc1cccc2C(=O)c3ccccc3C(=O)c12,197.0599:153.0701:105.0336|197.0596:153.0699:105.0334
Oc1ccc2C(=O)c3ccccc3C(=O)c2c1,197.0596:153.0698:105.0334|197.0596:153.0699:169.0648
[O-][N+](=O)c1cc[n+]([O-])c2ccccc12,191.0451:145.0522:161.0471;161.0473:145.0524:104.0496|161.0483:145.0532:174.0436
O=c1cccc2[nH]c3ccccc3cc12,196.0758:167.0728:195.0681
c1ccc2nc3c(ccc4ccccc34)cc2c1,230.0963:229.0881;230.0965:229.0884:228.0801
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc21,280.112:279.1041:278.0961;280.1123:279.1043:278.0962
c1n[nH]c2ccccc12,119.0604:92.0495:65.0387
Cn1c2cc(cnc2[nH]c1=N)-c1ccccc1,225.1135:210.0901:208.0871;225.1134:210.0899:208.0869|225.1128:210.0895:208.0865
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,274.9988:165.0661:305.0095;274.9983:305.0089:241.0055|274.9983:165.0659:241.0055|165.0659:257.9958:82.9449|165.0659:82.945:257.9958|82.945:165.0659:119.0729|82.945:119.0729:118.0651
CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,310.1421:311.1446:148.1114|265.1577:223.1105:247.1476|219.1161:223.1112:265.1574|204.0926:219.1156:218.1075|204.0923:194.071:167.0847;310.1417:148.1123;148.112|310.1416:148.112|91.0543|310.1412:148.112|91.0542:117.0699|91.0542:117.0699|148.112;117.0696:91.0543|117.0697:91.054:115.0542|117.0697:91.0542:115.0542|148.112|148.112:117.0694
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,278.2126:260.2011:279.2154|260.2006:278.2126:215.1427|121.0639:147.0792:173.0949|121.0643:147.0797:173.0954|121.0643:159.0789:132.056;58.0653:278.2118:260.2013;260.2014:215.1432:121.0643|278.2118:260.2016:58.0651|58.0652:260.2012:278.212|58.0652:121.065:215.1432|58.0652:121.065:147.0807|58.0652:121.0649:147.0805|58.0652:121.065:91.0544|278.212:260.2011:58.0651|58.0652:260.2012:278.2121|58.0652:121.0649:215.1432|58.0652:121.0649:147.0806|58.0652:121.0649:147.0806|58.0652:121.0649:91.0543|260.2011:215.1431:121.0647;278.2119:260.2013:58.0656|58.0656:260.2014:215.1436|58.0656:121.065:147.0808|58.0656:121.065:147.0807|58.0656:121.065:91.0544;58.0653:278.212:260.2014|58.0652:121.0646:215.1431|58.0652:121.0646:91.0541
CC1=C(C=C(C=C1)N=C=O)N=C=O,175.0504:147.0554:132.0445
CC1=CC(=O)OC2=CC(OS(O)(=O)=O)=CC=C12,NA
C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)=C4)[C@@H]1CCC2=O,NA
CC12CCC3C(CCC4=CC(OS(O)(=O)=O)=CC=C34)C1CCC2=O,NA
CC1=CC(=O)OC2=CC(O[C@@H]3O[C@@H]([C@H](O)[C@H](O)[C@H]3O)C(O)=O)=CC=C12,NA
CN1C=NC(=C1SC1=C2NC=NC2=NC=N1)[N+]([O-])=O,NA
OC1=CC=CC2=C(C=CC=C12)S(O)(=O)=O,NA
